編號,詞語,標籤,TL,POJ,TL/N.,POJ/N.,音檔,分類,類型
713,中晝,,tiong-tàu,tiong-tàu,tiong1-tau3,tiong1-tau3,713(1).mp3,時間節令|食物、飲料、煙酒,主詞目
714,中晝時,,tiong-tàu-sî,tiong-tàu-sî,tiong1-tau3-si5,tiong1-tau3-si5,714(1).mp3,時間節令,主詞目
715,中晝飯,,tiong-tàu-pn̄g,tiong-tàu-pn̄g,tiong1-tau3-png7,tiong1-tau3-png7,715(1).mp3,食物、飲料、煙酒,主詞目
716,中晝頓,,tiong-tàu-tǹg,tiong-tàu-tǹg,tiong1-tau3-tng3,tiong1-tau3-tng3,716(1).mp3,食物、飲料、煙酒,主詞目
717,公眾,,kong-tsiòng,kong-chiòng,kong1-tsiong3,kong1-chiong3,717(1).mp3,國家、社會、民眾,主詞目
718,介紹,,kài-siāu,kài-siāu,kai3-siau7,kai3-siau7,718(1).mp3,交際應酬|一般動詞-行為動詞,主詞目
719,中途,,tiong-tôo,tiong-tô͘,tiong1-too5,tiong1-to͘5,719(1).mp3,道路、橋梁,主詞目
720,內部,,luē-pōo,lōe-pō͘,lue7-poo7,loe7-pou7,720(1).mp3,事、物泛稱,主詞目
721,冗剩,,liōng-siōng,liōng-siōng,liong7-siong7,liong7-siong7,721(1).mp3,生活狀況,主詞目
722,內場,,lāi-tiûnn,lāi-tiûⁿ,lai7-tiunn5,lai7-tiunn5,722(1).mp3,戲劇、音樂|休閒、娛樂,主詞目
723,公寓,,kong-gū,kong-gū,kong1-gu7,kong1-gu7,723(1).mp3,建築物、結構,主詞目
724,分散,,hun-suànn,hun-sòaⁿ,hun1-suann3,hun1-soann3,724(1).mp3,一般動詞-靜態動詞,主詞目
